Category,Distance_km,Duration_hours,Is_Urgent,Price
Plumbing,16.7,4.5,0,157.13
Delivery,9.3,4.9,1,114.58
Moving Help,1.8,2.5,0,130.84
Moving Help,7.8,2.4,0,135.27
Plumbing,18.9,4.4,1,186.7
Cleaning,16.4,0.7,0,92.87
Plumbing,3.9,2.6,0,116.23
Delivery,10.3,1.2,0,57.95
Delivery,2.2,2.3,1,77.29
Delivery,12.4,4.6,0,101.56
Moving Help,7.6,3.7,0,149.45
Moving Help,19.0,4.7,1,205.31
Delivery,8.4,3.1,1,95.75
Plumbing,10.8,3.3,0,137.3
Cleaning,14.2,0.7,1,102.34
Plumbing,6.3,2.9,0,123.8
Plumbing,10.4,0.9,1,129.17
Moving Help,14.7,1.3,1,157.98
Plumbing,15.4,1.6,0,129.76
Cleaning,12.6,3.4,1,129.85
Cleaning,17.6,3.8,1,148.01
Plumbing,14.5,3.4,0,147.36
Delivery,15.6,1.2,1,88.65
Cleaning,14.9,3.0,0,112.07
Cleaning,2.8,2.5,0,82.56
Moving Help,3.6,1.7,1,145.3
Delivery,4.4,3.2,0,70.32
Cleaning,2.7,2.0,0,71.94
Moving Help,6.0,1.3,1,149.6
Moving Help,9.0,3.7,0,159.1
Cleaning,15.1,4.5,0,123.24
Moving Help,11.6,0.5,0,129.49
Moving Help,18.9,2.3,0,163.53
Delivery,15.7,3.5,0,101.04
Plumbing,7.1,2.0,1,135.83
Moving Help,1.6,3.7,0,136.4
Plumbing,12.0,4.5,1,164.18
Cleaning,17.4,5.0,0,133.45
Plumbing,9.2,3.4,1,152.18
Cleaning,1.8,1.5,0,68.58
Cleaning,5.3,0.6,1,87.68
Moving Help,15.1,2.6,1,179.96
Delivery,6.9,3.0,1,97.28
Plumbing,6.1,4.1,0,129.76
Moving Help,12.0,2.5,0,149.57
Moving Help,9.2,1.3,1,148.88
Moving Help,8.5,3.1,0,147.88
Moving Help,18.8,2.4,1,179.44
Moving Help,7.7,4.1,0,156.62
Plumbing,3.2,4.2,1,152.19
Delivery,13.6,2.4,1,96.61
Plumbing,16.4,1.8,1,153.59
Plumbing,17.9,4.4,1,181.08
Plumbing,16.5,3.7,0,152.04
Cleaning,6.3,4.6,0,108.28
Delivery,16.6,3.0,1,117.97
Plumbing,8.6,1.3,1,131.89
Moving Help,19.5,4.3,0,180.47
Moving Help,19.8,2.1,0,164.75
Plumbing,11.7,4.0,0,147.23
Moving Help,13.8,3.2,0,160.94
Plumbing,17.6,1.1,0,127.56
Moving Help,8.9,2.7,1,164.94
Cleaning,3.9,3.0,0,84.34
Plumbing,1.4,2.6,1,129.91
Cleaning,4.9,2.6,0,81.11
Delivery,13.5,1.0,1,82.56
Delivery,17.8,3.8,0,107.25
Plumbing,2.0,4.0,0,120.9
Cleaning,8.5,4.3,0,107.25
Moving Help,4.4,3.8,1,171.35
Cleaning,6.0,2.3,1,108.74
Plumbing,19.8,2.3,0,144.56
Plumbing,18.8,1.7,0,139.54
Cleaning,15.4,3.3,1,137.45
Plumbing,9.7,2.3,0,120.86
Plumbing,7.3,3.6,0,134.72
Plumbing,1.9,2.9,1,134.24
Plumbing,10.4,3.8,0,136.08
Plumbing,17.4,0.7,1,144.0
Plumbing,12.5,3.8,1,165.32
Delivery,11.8,4.8,0,99.05
Cleaning,11.3,3.9,1,128.33
Delivery,4.4,0.8,1,63.7
Moving Help,18.4,4.8,0,180.49
Plumbing,12.7,4.4,1,171.06
Plumbing,19.6,1.5,0,133.5
Plumbing,19.8,4.7,1,188.2
Moving Help,11.9,3.0,1,174.5
Delivery,7.0,1.9,1,83.85
Moving Help,9.7,1.0,0,128.18
Moving Help,6.6,1.9,0,134.05
Cleaning,3.1,2.8,0,82.41
Moving Help,12.9,4.8,0,177.88
Cleaning,2.8,1.5,0,74.68
Cleaning,7.0,4.5,1,130.36
Moving Help,19.6,3.0,0,167.2
Cleaning,18.7,3.1,0,119.47
Moving Help,14.9,4.5,1,194.16
Plumbing,7.4,4.0,1,155.49
Moving Help,18.8,1.9,0,156.34
Delivery,1.4,2.2,0,51.03
Cleaning,17.0,1.4,1,121.24
Plumbing,12.8,3.7,1,159.19
Plumbing,5.1,2.6,0,118.75
Plumbing,16.5,4.9,1,181.82
Plumbing,9.6,4.0,1,161.38
Delivery,15.1,0.7,0,64.29
Plumbing,12.6,4.4,1,173.57
Moving Help,3.3,3.6,1,163.43
Cleaning,7.0,2.3,1,103.87
Plumbing,18.1,2.0,0,139.02
Moving Help,7.2,1.7,1,155.73
Delivery,8.2,3.2,0,74.07
Moving Help,9.1,1.8,0,139.86
Cleaning,6.0,4.7,1,125.02
Moving Help,19.2,2.3,1,181.35
Cleaning,18.8,2.4,0,113.22
Plumbing,10.0,1.7,0,117.73
Plumbing,8.8,4.6,0,139.77
Delivery,7.7,0.6,0,46.9
Cleaning,18.4,4.3,0,133.21
Moving Help,2.8,4.7,0,155.36
Moving Help,13.1,1.1,0,140.36
Plumbing,5.8,0.9,0,101.76
Cleaning,12.3,2.3,0,101.25
Cleaning,17.1,2.7,1,131.59
Delivery,3.0,0.8,0,41.57
Delivery,10.6,2.5,1,92.65
Plumbing,12.9,4.7,1,173.23
Cleaning,1.7,0.7,0,56.28
Delivery,17.5,1.8,0,82.77
Moving Help,14.0,1.0,1,154.95
Plumbing,6.6,3.2,0,125.07
Cleaning,6.3,1.4,1,101.42
Cleaning,12.5,0.8,0,80.99
Moving Help,10.6,3.7,0,154.77
Moving Help,12.3,2.2,1,164.76
Plumbing,17.7,2.4,0,137.13
Delivery,12.4,3.0,0,84.69
Cleaning,6.1,1.3,0,72.26
Plumbing,10.7,0.6,1,126.41
Moving Help,15.0,2.2,0,151.99
Moving Help,19.2,2.8,1,183.22
Moving Help,2.9,0.7,1,134.64
Moving Help,17.0,2.6,1,184.02
Delivery,11.9,1.9,0,75.29
Cleaning,11.3,1.3,0,83.41
Plumbing,3.5,2.3,1,134.12
Cleaning,19.8,4.1,1,153.43
Plumbing,11.3,2.3,1,141.0
Moving Help,18.7,1.9,1,171.6
Plumbing,19.6,3.4,1,177.72
Delivery,1.2,5.0,1,105.37
Plumbing,12.1,3.2,1,157.58
Cleaning,7.8,0.6,1,89.96
Cleaning,11.6,1.1,1,100.54
Cleaning,15.9,2.4,0,107.24
Moving Help,10.2,2.9,0,145.41
Moving Help,6.9,4.3,1,174.1
Delivery,7.2,3.0,1,91.56
Delivery,11.4,3.3,0,89.94
Delivery,5.6,1.0,0,48.51
Cleaning,17.6,2.4,0,110.31
Cleaning,2.9,2.1,0,74.94
Delivery,3.0,2.6,1,77.01
Cleaning,12.5,3.5,0,114.51
Cleaning,14.3,3.8,1,133.18
Cleaning,8.2,1.2,0,78.32
Cleaning,2.0,4.2,0,95.17
Delivery,6.0,1.1,0,53.87
Delivery,10.4,4.1,1,109.63
Moving Help,12.5,3.6,1,178.79
Plumbing,13.8,3.7,1,161.86
Moving Help,9.2,1.7,1,158.14
Delivery,11.5,2.6,0,75.01
Delivery,5.1,0.8,1,63.7
Delivery,12.6,3.0,0,86.84
Delivery,4.4,4.8,1,111.56
Delivery,18.0,3.2,1,118.59
Delivery,8.0,3.9,0,88.81
Cleaning,5.4,1.9,0,82.14
Cleaning,10.2,3.7,0,102.75
Plumbing,3.1,4.6,0,128.23
Moving Help,10.5,3.0,1,172.58
Moving Help,12.1,1.9,1,165.2
Moving Help,1.0,0.9,1,126.36
Delivery,13.9,3.5,1,115.11
Moving Help,12.1,4.6,1,192.2
Cleaning,10.2,3.6,1,130.71
Cleaning,3.4,2.9,1,108.6
Cleaning,16.1,4.8,1,146.7
Plumbing,7.8,3.6,0,128.43
Delivery,14.7,1.2,0,69.11
Plumbing,4.6,2.1,0,111.79
Delivery,18.8,1.6,0,86.46
Moving Help,12.3,0.7,0,129.35
Moving Help,12.5,2.5,0,153.57
Delivery,5.2,1.6,1,71.7
Plumbing,16.7,4.0,1,171.42
Moving Help,17.6,1.6,1,172.16
Delivery,9.8,1.4,1,84.78
Plumbing,5.4,1.6,1,130.41
Plumbing,7.5,3.4,0,128.2
Moving Help,5.3,3.7,1,170.6
Moving Help,12.8,0.6,1,149.67
Plumbing,2.1,4.0,0,128.05
Plumbing,17.2,4.6,0,161.12
Delivery,13.8,4.4,1,119.75
Cleaning,2.0,1.0,1,83.07
Delivery,3.8,4.2,0,80.56
Moving Help,6.3,3.3,1,161.63
Plumbing,14.4,1.3,0,121.27
Plumbing,4.3,0.6,0,92.33
Cleaning,7.2,1.2,1,93.06
Delivery,16.9,4.5,0,103.87
Delivery,15.2,1.5,1,100.05
Cleaning,10.6,1.2,0,82.33
Plumbing,13.8,0.7,1,138.12
Delivery,14.4,4.2,1,125.23
Plumbing,8.4,1.9,0,119.05
Moving Help,19.2,2.3,1,186.03
Plumbing,13.1,1.5,1,138.21
Cleaning,6.1,3.3,0,95.37
Cleaning,10.7,1.1,0,85.46
Moving Help,9.2,5.0,0,172.06
Cleaning,12.6,3.5,1,129.08
Cleaning,18.3,4.1,1,150.57
Cleaning,11.7,0.7,0,81.19
Moving Help,10.3,2.9,1,174.54
Plumbing,8.6,2.7,1,140.4
Moving Help,11.2,4.2,1,180.09
Delivery,12.8,3.0,0,86.14
Cleaning,4.0,0.7,0,65.65
Moving Help,12.1,2.5,1,165.4
Cleaning,5.7,4.6,0,106.12
Delivery,4.8,4.6,0,86.61
Plumbing,19.5,2.5,1,161.5
Plumbing,10.5,3.0,0,126.08
Cleaning,5.5,3.9,1,118.96
Moving Help,15.3,0.9,0,140.01
Delivery,5.6,0.6,0,52.08
Cleaning,7.5,1.8,1,104.69
Cleaning,17.4,3.2,1,135.31
Cleaning,1.9,4.1,0,99.07
Cleaning,18.3,0.6,0,89.55
Plumbing,19.7,4.8,0,172.12
Moving Help,8.1,4.9,0,161.29
Cleaning,17.3,4.4,0,129.82
Moving Help,1.2,2.7,1,145.82
Cleaning,10.0,3.5,0,105.63
Plumbing,10.1,3.9,0,144.09
Moving Help,13.7,1.0,0,134.5
Delivery,1.8,3.5,1,91.01
Cleaning,2.8,3.8,0,90.3
Moving Help,13.9,0.7,0,131.24
Plumbing,11.0,3.3,1,157.78
Cleaning,2.5,1.4,0,65.55
Cleaning,6.4,3.9,1,125.45
Delivery,4.5,4.5,1,106.81
Cleaning,15.2,1.2,0,89.9
Moving Help,14.2,0.6,0,138.89
Moving Help,6.7,2.4,1,155.21
Plumbing,9.6,0.8,1,124.41
Moving Help,18.0,4.8,1,205.56
Delivery,16.3,4.7,0,111.53
Moving Help,8.6,0.8,0,123.63
Plumbing,12.4,2.5,1,145.81
Plumbing,11.4,3.7,1,156.9
Plumbing,11.4,0.7,1,133.9
Delivery,4.3,1.6,1,79.18
Cleaning,8.4,4.6,1,134.8
Plumbing,19.4,2.1,0,142.51
Moving Help,13.4,2.1,1,168.78
Plumbing,18.8,3.6,1,170.89
Cleaning,14.3,3.9,0,120.04
Delivery,15.4,0.5,1,81.81
Plumbing,12.8,3.4,0,138.2
Delivery,2.9,2.9,0,63.34
Plumbing,17.8,2.6,1,161.29
Plumbing,5.5,2.7,0,113.51
Delivery,11.3,0.8,1,80.79
Plumbing,18.7,3.9,0,157.92
Plumbing,3.9,4.6,0,134.6
Plumbing,1.5,4.7,1,152.46
Moving Help,3.9,2.9,1,157.18
Plumbing,12.9,4.1,0,149.07
Moving Help,17.5,2.2,0,156.41
Delivery,12.9,2.7,1,104.91
Delivery,16.0,3.2,1,114.99
Moving Help,5.7,4.8,1,175.56
Cleaning,9.7,2.4,0,97.86
Plumbing,10.2,1.5,0,114.14
Delivery,6.0,3.9,1,99.21
